dong_code,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count
11210680,2177,16011,4674,4268,1271
11210690,941,18015,2689,6599,1648
11210710,2883,9546,3846,1785,296
11210720,1651,12046,3833,6559,1600
11210730,1868,17680,4001,14922,1532
11210780,5102,21704,7865,6473,1370
11210790,5399,18231,7338,2764,634
11210800,2999,24242,5834,10256,1757
11210810,3579,17459,7308,2192,694
11210820,2793,14367,7881,2370,762
11210830,4517,19659,7891,5266,1234
11220510,3601,13509,4248,32003,3791
11220520,3184,12201,3123,52997,5042
11220530,4506,19634,6491,81070,7664
11220540,7338,18727,5622,28520,3003
11220550,6837,22185,5892,18024,2160
11220560,2624,6947,2551,2319,658
11220570,6757,21044,5067,10224,1706
11220580,4691,8915,2602,2143,301
11220590,4645,12127,3557,7491,961
11220600,3978,11742,3945,29857,3269
11220610,4474,12715,4194,10468,1594
11220620,2598,10948,3842,16275,1850
11220630,2974,12760,5069,17719,1763
11220640,3606,13227,5457,13752,1112
11220650,4386,14818,4581,14582,2096
11220660,8972,27098,9499,43808,3421
11220670,3274,15435,4191,48135,4862
11220680,3519,10548,4351,8753,742
11230510,2826,10547,3881,26120,4112
11230520,1707,17248,4194,41787,5263
11230530,2561,14803,4233,62226,5565
11230580,2389,9135,3135,63506,4045
11230590,6053,19810,4577,37492,3623
11230600,7697,14285,3274,6447,1064
11230630,3463,14193,2870,31890,3647
11230640,2682,28040,5281,155835,15391
11230650,8582,23508,4915,38374,3728
11230660,4216,13972,4279,17023,1553
11230670,7845,20132,6347,19893,1822
11230680,1005,3722,2168,830,128
11230710,2866,11717,3653,10429,1788
11230720,5866,14236,4263,9714,459
11230730,2114,9715,4452,5582,817
11230740,3195,10542,4351,9447,505
11230750,1416,8478,5963,17972,1421
11230760,9576,26501,8791,6799,1075
11230770,5168,15807,6567,29487,3911
11230780,5000,18912,5950,38135,4200
11230790,8671,23205,6618,64458,3859
11230800,4257,13331,4413,3009,690
11240510,1776,8796,4109,2345,586
11240520,4155,15649,5292,16145,980
11240530,1857,8027,3230,3469,646
11240540,2583,9868,4391,4356,639
11240550,2909,11777,5873,2115,698
11240560,2596,11803,5661,3922,1036
11240570,2953,10336,3105,8372,1235
11240580,2716,17758,5031,19629,2956
11240590,4341,10804,3708,5717,489
11240600,6612,25263,8983,16323,2046
11240610,2908,17691,4964,14149,1977
11240620,3701,12701,4289,4084,771
11240630,4006,23175,6393,15110,2459
11240640,4039,22388,5774,11201,1811
11240650,3787,18211,5513,25302,3343
11240660,5436,17588,4600,11354,2959
11240670,6516,21011,6174,9595,1720
11240680,3091,13619,4385,6080,1181
11240690,3359,21092,5337,59054,6330
11240710,3406,20236,5401,19077,2927
11240750,5418,12861,3878,1660,337
11240770,3224,10033,3992,48702,2051
11240780,1779,5614,2785,1278,190
11240790,10470,21428,4812,4541,735
11240800,7496,20675,7672,9473,1480
11240810,5919,20433,6481,8925,1033
11240820,8254,16799,3185,3782,588
11250530,4957,16115,5594,6441,1537
11250540,3839,10248,3648,3928,971
11250550,6799,15881,4285,2503,565
11250560,3759,11587,3899,3149,538
11250580,2309,9256,3162,3532,659
11250590,4105,10817,3714,2063,454
11250610,3582,17221,7283,4994,1196
11250630,3036,17533,6883,7233,1589
11250650,3492,12652,4290,17603,1874
11250660,2522,15896,5988,6594,1660
11250670,3412,14980,5249,8914,2236
11250700,15,134,119,283,17
11250710,4391,16887,6346,9229,1319
11250720,5302,22560,8506,5241,1513
11250730,3989,22619,8493,13879,3110
11250740,5985,29029,11036,19549,3349
11250750,7284,17958,6731,16495,611
11250760,0,0,0,4940,682
23010520,676,3684,2211,12702,2009
23010530,620,2836,1816,9234,1567
23010540,2124,7685,3616,15073,1800
23010560,486,2237,1445,1043,247
23010570,358,1943,1241,735,158
23010580,541,3308,2226,3884,1264
23010630,220,2135,1876,2449,742
23010640,5133,20387,3127,47190,2324
23010650,13345,34555,7681,7081,1800
23010670,0,0,0,3765,673
23020510,1190,4176,1939,3182,469
23020520,847,3470,2183,1194,375
23020530,1125,4363,2674,3621,234
23020550,1905,6256,2744,1577,641
23020570,398,2109,1377,8583,1463
23020580,238,907,602,455,96
23020590,289,1448,1349,1985,327
23020600,1349,4667,2436,2074,412
23020610,800,2519,903,7271,2116
23020630,1226,3887,1852,3171,807
23020640,360,1523,1316,1564,374
23040510,3598,12636,4157,6828,1901
23040520,2185,11285,4480,3838,940
23040530,2899,13999,4102,3877,1326
23040540,3447,14299,4435,6356,1560
23040550,2608,10573,4189,2589,259
23040560,3376,16407,6157,6975,1470
23040570,5195,16828,3985,4072,807
23040580,3742,12383,3136,4648,867
23040590,4646,11534,3097,4197,645
23040600,4048,13452,4021,3358,765
23040640,8752,22760,4756,29935,2156
23040650,13090,31172,3843,26155,3090
23040660,20223,45057,5998,15229,2248
23050510,6677,20459,5549,15856,2482
23050520,8569,22199,6238,3776,808
23050530,3488,20688,4603,33045,4358
23050540,2013,9801,4014,5486,1499
23050550,3226,14742,5749,5732,1257
23050560,3975,13838,4906,4603,1193
23050570,4111,18383,6621,7465,1839
23050580,4425,18666,6258,6658,1485
23050590,1995,9592,4593,6497,1031
23050600,4595,15539,5287,3248,948
23050610,3204,11321,3857,1642,517
23050620,3796,13536,4852,1449,301
23050630,1901,9837,4459,4066,1139
23050640,4218,15721,5623,10633,1465
23050670,3579,13570,4820,18893,2349
23050720,6804,20248,5256,6807,1937
23050730,6333,20961,6093,19585,2526
23050740,10654,25865,5280,66722,7273
23050750,13993,36116,10008,8724,1754
23060510,5714,24583,7608,14325,2925
23060520,2636,12231,4629,1715,508
23060530,1634,8080,3734,3590,878
23060540,5433,24837,7183,13716,3034
23060550,5341,22933,6013,11844,2443
23060560,1948,9485,3648,4606,837
23060570,1703,8003,3862,2398,626
23060580,6863,20200,5762,3921,884
23060590,3599,13326,6286,2442,612
23060600,3311,11487,3783,2083,533
23060610,962,4715,1910,7351,1311
23060620,6073,22313,6846,29207,2853
23060630,2433,10961,3697,5589,1015
23060640,2986,12187,4856,2752,768
23060650,6767,22212,6810,5312,1255
23060660,2244,10293,4825,3378,1015
23060670,2938,11204,3888,2953,718
23060680,5892,21607,5773,3965,1005
23060690,2321,8006,3041,6616,1067
23060700,1869,7919,3456,5990,1067
23060710,3022,15285,6170,6094,1833
23060720,7268,18554,4419,11723,1515
23070510,4006,16256,5823,4264,1083
23070520,5154,19520,6105,7186,1327
23070530,2408,13536,4750,7724,2022
23070540,1750,10259,3823,4757,969
23070550,2920,14129,3538,2632,571
23070560,5121,18978,5361,5056,910
23070570,2590,12977,4792,8161,1681
23070580,5885,20639,4709,12894,1861
23070610,5206,23130,7209,6108,1648
23070620,4436,16457,3221,16300,2319
23070630,3619,13816,4504,3610,821
23070640,6156,16538,4150,4241,828
23080510,9624,30771,5985,16658,2226
23080530,6555,27736,8199,15938,2519
23080540,5573,17780,4826,5184,1245
23080550,853,4573,1358,197,69
23080560,1389,6668,2076,540,141
23080580,3010,14750,5247,4575,1455
23080590,1821,8419,3623,14472,2651
23080600,2122,9698,3403,1605,422
23080620,1510,7644,2812,26027,3599
23080630,3650,13169,4216,2592,733
23080640,2163,10128,4435,12284,1332
23080650,1635,6978,2456,6850,911
23080730,6144,20656,6038,14831,2253
23080740,8509,20232,2644,8613,1763
23080780,13373,30674,4723,6461,1438
23080790,7738,16685,2396,5970,673
23080800,6558,21366,5319,7208,1734
23080810,5088,14000,3902,3673,990
23080840,5233,15451,4210,31698,3726
23080850,12330,33182,6591,8343,1724
23080870,6334,15245,3080,3931,967
23090520,2159,8660,3726,5828,742
23090540,2534,9982,4670,1851,616
23090560,2807,11172,4196,2002,571
23090570,719,4218,2782,1902,671
23090590,9550,28946,8732,6580,1897
23090600,6148,19523,6995,9236,1550
23090610,3268,11666,4856,7367,1160
23090620,3525,14830,5602,4741,1007
23090650,2353,14848,3255,11246,2044
23090660,2323,10628,5526,3511,1061
23090670,1282,5224,2603,1521,412
23090680,1633,8124,5016,5787,1087
23090690,2242,11057,4631,10357,1696
23090700,4128,14270,4840,7406,1736
23090710,1753,7690,3988,3281,1062
23090720,3519,13392,5145,4202,876
23090730,2491,9582,3878,5051,1173
23090740,2041,9092,2617,3010,677
23090750,1926,8735,3367,4536,996
23090760,1762,10658,5020,7367,1378
23090770,4313,16462,6182,14903,2188
23310110,3768,11767,7331,9012,2231
23310310,1224,3870,2656,2094,431
23310320,408,2017,2486,1675,260
23310330,712,3317,2880,2445,803
23310340,359,1838,2301,1531,580
23310350,392,1715,2087,936,189
23310360,201,1255,1660,862,284
23310370,275,1539,2285,658,166
23310380,126,680,1047,347,58
23310390,259,1262,1631,597,135
23310400,196,1112,1632,530,180
23310410,169,867,1205,748,285
23310420,21,139,225,102,32
23320310,91,528,550,867,233
23320320,247,1356,509,392,118
23320330,686,3145,1450,1544,449
23320340,125,690,443,388,119
23320350,142,806,975,436,142
23320360,66,425,441,440,189
23320370,733,3330,2204,3697,776
31011540,3562,14868,5557,13859,1499
31011550,8028,29783,6173,9533,1773
31011560,6521,19056,5098,4235,824
31011570,5535,18870,6011,6726,1335
31011580,2301,12629,5712,8385,2048
31011590,3089,12718,4100,7991,1336
31011600,4727,18137,6453,6568,1259
31011610,1894,9705,4924,5521,949
31011620,11304,27580,4581,9205,1596
31011630,3737,12120,3604,4002,592
31012520,1582,6701,2298,1448,300
31012530,2958,15535,5572,5409,1448
31012540,2778,12548,4831,5607,1224
31012550,7030,26150,7790,33690,3486
31012560,6083,24807,8013,12922,2252
31012570,3791,16329,5166,6302,1491
31012600,3305,17453,4076,12749,2590
31012610,4329,20531,3003,7363,1703
31012620,3890,10561,2730,2328,593
31012640,11708,32495,6131,7022,1458
31012650,10381,28830,6589,7131,1691
31012660,11624,28647,5509,4407,937
31013530,1281,6733,3822,5819,872
31013540,2649,13430,5023,5528,1259
31013550,3274,11373,2768,5120,768
31013560,5290,26301,6262,43808,5715
31013670,573,3778,1595,3655,761
31013680,1000,6999,2660,15328,2740
31013690,1047,5481,2735,1937,557
31013700,3923,14278,5393,4034,1275
31013710,5418,17652,4201,4775,892
31013720,793,6543,3591,7995,2524
31014510,3422,12407,3132,2006,621
31014520,2684,9883,2821,4166,897
31014530,7766,24647,4155,52113,1865
31014540,4098,14826,3588,2327,697
31014600,8226,25860,4459,20221,2137
31014620,12955,34797,4379,24835,3182
31014630,6528,17519,3932,5295,882
31014640,21495,65742,8896,34686,5848
31014670,15616,39330,5305,5892,1334
31021510,1351,8653,3667,4111,1154
31021520,1707,5956,2262,3096,654
31021530,1123,7141,2854,4026,1166
31021540,1486,10159,4252,4761,965
31021550,2104,10060,3971,3006,715
31021560,1737,8555,3530,2254,795
31021570,2145,8514,3292,2083,488
31021580,1198,7733,3870,2370,804
31021590,2098,10227,4375,5744,1066
31021600,2581,9939,3763,3701,634
31021610,1809,8048,3334,1939,521
31021620,1688,6103,2380,1764,416
31021640,1033,2973,789,994,210
31021650,846,3748,1242,1028,227
31021660,392,1928,1021,7007,718
31021670,1331,8551,1697,9455,1244
31021680,9304,28445,7713,9584,2010
31022510,3751,21864,7787,13009,3309
31022530,927,4584,1699,2074,504
31022540,3535,15932,5892,5409,1443
31022550,1911,6874,2287,543,140
31022560,3726,15484,6140,2709,854
31022570,3776,16869,5916,42407,4215
31022580,1697,8887,3835,5931,1131
31022590,1649,8150,3178,1952,771
31022600,3420,13489,4579,6205,1163
31022610,5782,17071,4896,9120,1129
31022620,1901,8683,3870,3203,1195
31023510,5256,16670,4930,3024,411
31023520,3609,8942,1768,2304,529
31023530,3580,11510,3033,19868,2680
31023540,3199,6095,1540,1925,554
31023550,2493,10415,3473,1028,242
31023560,3237,9914,2721,4364,384
31023580,7040,20334,5218,32737,3806
31023590,3862,12092,3093,3232,808
31023600,5644,16126,4579,4605,797
31023610,2999,8192,2912,2791,452
31023620,2774,11350,3726,23160,2648
31023630,4730,19205,6001,12383,1667
31023640,3149,9957,3996,2858,534
31023670,5255,19776,6878,20061,1782
31023680,4575,13002,3728,6677,1033
31023710,4507,18121,6462,13145,1817
31023720,3244,11665,3195,9234,1641
31023740,5997,15247,3643,87620,3068
31023750,6522,14181,3240,5692,864
31023760,6523,17567,4179,12686,1519
31023770,5470,20581,4981,28251,2709
31023780,3591,13111,3400,4948,1198
31030520,4337,20975,6881,17907,2918
31030550,5487,21390,9643,6693,1291
31030560,3475,11062,5069,3112,583
31030570,7638,27967,9723,4874,1254
31030580,8432,27211,9030,8893,1660
31030590,4897,17585,6542,11545,1615
31030600,4932,17058,6203,11529,1646
31030640,4051,13734,4899,4821,978
31030650,6474,20939,8586,5159,1245
31030670,2986,11720,5072,4863,1070
31030680,3754,16365,6460,6277,1548
31030690,2002,13070,5383,19333,5417
31030700,19793,49680,11305,14535,2881
31041510,2445,9507,2910,7964,2103
31041520,2865,13599,5212,6456,1459
31041530,2311,10361,4127,4566,999
31041540,834,4426,2013,5313,1584
31041550,1583,7876,3756,5763,895
31041560,2367,12542,4709,9762,1724
31041570,3215,10343,2568,13518,1607
31041580,1300,6980,2905,5006,752
31041590,2471,10648,4567,1254,390
31041600,3211,12228,4750,4964,791
31041610,5068,20123,7252,9599,1362
31041620,2528,8604,2975,1728,418
31041630,2072,9577,4015,4031,1048
31041640,4638,14713,4041,7816,692
31042510,4372,13631,4212,2555,456
31042520,2032,7039,2192,2122,420
31042530,3352,14670,5336,6079,1012
31042540,3965,10721,3276,5358,902
31042550,1686,7569,2074,6586,771
31042560,5660,23778,8224,9885,2187
31042570,2870,12695,3855,53502,5492
31042580,5102,18738,3592,16282,2565
31042590,3334,10023,2345,8447,1211
31042600,6403,14888,3047,3712,425
31042610,4893,10022,2116,5351,1279
31042620,1708,5247,1153,16812,3266
31042630,3794,15600,4814,9824,1260
31042640,3875,14153,4234,4341,996
31042650,3616,9742,2449,14017,2201
31042660,2654,8456,2293,3071,710
31042670,2315,6714,2280,1818,409
31050870,7657,42486,15550,22886,5374
31050880,13911,57654,20329,55619,9754
31050890,6942,26493,8801,18383,3160
31050900,22196,85319,23104,50811,7712
31050910,19218,57156,12195,31425,6063
31050920,12015,52044,19685,21629,4910
31050930,8603,34961,13700,10544,2523
31050940,19879,58721,18394,13238,3233
31050950,13011,54470,19016,13825,3426
31050960,13123,55637,17726,53772,9529
31060510,999,4569,1899,474,168
