행정동코드,행정동명,행정동총면적_m2,주거용지면적_m2,상업업무용지면적_m2,공공시설용지면적_m2,주거용지비율,상업업무용지비율,공공시설용지비율
11020520,소공동,943090.0451435072,1353487.5287231244,21019359.63970928,4521164.020210606,1.4351625655397182,22.287754756769623,4.793989761097133
11020540,회현동,897156.106999932,3335208.2139325934,26069950.328649692,986073.4344336014,3.717533869423737,29.05843266878823,1.0991102069527308
11020550,명동,968876.2596072336,2372650.519258704,32852764.892761923,3159666.7704728055,2.448868465639294,33.90811217325099,3.26116646903257
11020570,필동,1463586.7173389706,5537146.87680314,18222481.58412982,6789374.424176019,3.7832721568220697,12.450565018286817,4.63886037208657
11020580,장충동,1017158.9421082004,9354340.231802102,8582323.267105695,1640621.0228962977,9.196537379314544,8.437543939118955,1.612944599883168
11020590,광희동,736648.8912997656,4638160.202422347,31171925.438364506,1155977.4363084286,6.296296997391304,42.3158519703516,1.5692380046466738
11020600,을지로동,611191.8241216319,528563.9359819288,34184847.47629666,2184799.824277504,0.8648085840178721,55.93145413131968,3.574654859654523
11020650,신당5동,319464.4409896149,8147911.234471506,5955933.7379028285,1635221.575162778,25.50490818080244,18.643495092765093,5.118634080517072
11020670,황학동,328391.1913211211,5019498.776224171,13504972.501869801,692090.3404887959,15.28512003026231,41.124649073378485,2.107517980931551
11020680,중림동,484023.16386115225,6993501.418009729,5060398.005896233,1414194.6299514542,14.448691591991448,10.454867419006145,2.9217498986414885
11020690,신당동,534537.9543277827,9169447.992614055,15707591.496693589,3577821.104087247,17.153969925569175,29.385362385439844,6.69329665951709
11020700,다산동,523575.8824797477,21926105.36294592,8858400.696943207,2111660.0220921757,41.87760761458305,16.919038850659543,4.033149907690517
11020710,약수동,485866.1432877514,9205943.89768337,4013250.321439358,1004668.5604279906,18.94749001317263,8.259991721758093,2.067788781555379
11020720,청구동,342312.10888944694,9397306.90430139,2455533.555667067,1677602.2419496754,27.452452484923175,7.173376260727328,4.900797250182796
11020730,동화동,326798.38384191156,5711902.410621271,4820838.596887508,1097475.3590522076,17.478367987842923,14.751721046514064,3.358264340692426
11030510,후암동,865244.0803748902,29177250.192889515,5838908.077255607,3087191.3522637677,33.72140977866926,6.748278560571882,3.5680005472284297
11030520,용산2가동,1965379.646328625,17173080.83806475,3460619.0713317143,2415942.2895423896,8.73779316385232,1.760789106469191,1.229249674003405
11030530,남영동,1176908.797605099,9018210.438621264,15018688.649287574,1588859.749711864,7.662624713973157,12.761132111382992,1.350027931599328
11030570,원효로2동,708448.6920712206,11354743.739243528,7788506.058561984,3178136.0109660607,16.027616207529157,10.993747529960862,4.486049655444295
11030580,효창동,445853.9028966531,10196723.611724582,3133723.843848775,1370545.2230803529,22.87010059904788,7.028589014225044,3.073978301358593
11030590,용문동,277325.00179992145,9503198.310856553,4105463.3220321266,498830.9726695942,34.26736950934095,14.803798054219609,1.798723409112173
11030630,이촌1동,2870622.4573845994,11811922.048371606,2374710.7870603586,2097604.679849876,4.114759855649339,0.8272459448477729,0.7307142304463773
11030640,이촌2동,1204647.7115449945,3591371.0708273584,1927177.5840053363,605768.0906223434,2.981262518833265,1.599785203205738,0.502859122062689
