행정구역코드,아파트비율_퍼센트
31110540,86.18
31110550,0.0
31110560,0.0
31120510,97.36
31120520,92.24
31120530,81.09
31120540,19.2
31120550,93.72
31120560,72.85
31120570,49.65
31120580,93.61
31130110,86.3
31130120,77.07
31130130,57.85
31130140,57.51
31130150,83.92
31130160,68.88
31130310,86.75
31130340,0.0
31130350,0.0
31130510,88.84
31130520,93.18
31130530,50.75
31130540,20.14
31130570,93.87
31130580,94.81
31130590,93.66
31140510,83.8
31140520,83.33
31140530,64.2
31140540,83.97
31140550,84.33
31140560,96.53
31150510,75.86
31150520,41.08
31150530,73.09
31150540,89.82
31150550,51.19
31150560,89.6
31150590,6.49
31150610,80.95
31150620,70.66
31150640,38.11
31150650,80.56
31150670,96.9
31150680,50.81
31150690,95.25
31150700,94.83
31150710,98.86
31150720,100.0
31150740,98.87
31150750,100.0
31160510,51.33
31160520,83.95
31160540,50.07
31160550,96.5
31160560,37.37
31160570,83.53
31160580,100.0
31160590,100.0
31160600,100.0
31160610,97.68
31160630,63.19
31160640,94.74
31170510,90.57
31170520,68.47
31170530,95.28
31170540,95.23
31170550,90.74
31170560,81.87
31180510,0.0
31180520,41.88
31180530,94.22
31180540,81.42
31180550,66.0
31180560,81.35
31180590,0.0
31180600,27.85
31180610,98.22
31180620,98.15
31180630,97.86
31180650,99.38
31180660,0.0
31180670,97.78
31191110,35.88
31191120,16.42
31191130,45.84
31191140,75.21
31191340,1.35
31191350,7.77
31191360,9.43
31191510,62.18
31191530,69.69
31191540,44.25
31191550,77.07
31191560,76.15
31192520,87.06
31192540,71.34
31192550,86.4
31192560,90.5
31192570,91.16
31192590,88.48
31192600,86.5
31192610,82.68
31192630,90.8
31192640,89.02
31192650,84.96
31192660,85.21
31192670,88.24
31192680,81.63
31192690,91.65
31193510,90.33
31193520,98.56
31193530,87.51
31193550,94.6
31193560,81.35
31193580,97.1
31193590,94.1
31193600,96.52
31193610,91.4
31193620,99.2
31193630,100.0
31200110,78.57
31200120,20.78
31200130,16.88
31200150,65.52
31200310,0.0
31200320,25.63
31200350,8.88
31200360,2.25
31200370,23.54
31200390,0.0
31200520,98.47
31200530,52.22
