권역 존체계_읍면동,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
23,18.921525397969432,7.983640807612412,30.649892073169212,18.32604292576971,26.860532173654924,60.005433854045116,45.373475689006256,10.169946356235139,10.220262070476485,9.442852552629681,8.404116826465295,8.80589752012181,9.889806131838426,9.204617934813133,8.886912691782195,11.233090398931527,11.77055849827108,14.112116029902019,12.808934727335414,461.77385847970527,3.7928306124486393,3.353139503257814,0.0,6.5561556919062385,7.151978396073138,7.772937336975086,28.992826027750244,21.176994212929372,36.39594673815674,19.599784566670543,28.018329841451393,23.532701329792424,22.217064132285234,405.2183849245963,21.982047367722476,22.87744195906224,16.47116108187458,17.013316406562556,15.975232038045176,17.838081112692908,16.51489083069102,14.94509527898663,18.757611367720717
24,18.732491077836762,9.071721658864963,33.12428735804657,21.141345627704695,27.19853699777565,53.75966311294871,48.03276570696937,8.799813654497456,9.744148494817379,8.511159763992797,8.659784441279184,7.700490244942343,8.234044847040424,7.494227142544323,6.247419949060994,10.155921614291868,11.870904947002112,14.506922668354242,16.226434958116926,456.30940115147587,8.73308393912303,5.8423578362266575,6.5561556919062385,0.0,2.1534392511479608,4.108049628954165,31.0291827959219,27.218028171705484,40.33633495370567,22.849547908626878,32.91527710680489,30.078774088688007,28.71568574296074,400.08403028232266,28.435686967237274,29.426959790053527,23.021869465846727,23.54807962246392,22.466836230473714,24.188422329293278,22.602809941919748,20.476212117328256,23.317924367186087
25,20.885496925198648,11.074016088249447,31.378185178052863,19.56595400279846,29.34974810538702,52.853992075735114,46.2794480598945,6.751254922587012,7.796004643947155,6.542726167256396,6.923847382720098,5.7487921182474535,6.167642160932276,5.451262824802594,4.137007862526852,8.105022043619547,9.944549860786061,12.566048499285424,14.906417126240834,454.9009265758482,8.379680788016124,5.360146869330945,7.151978396073138,2.1534392511479608,0.0,1.9842651284536217,33.09681973799215,26.822098362277664,38.92673165574689,24.738494234771608,31.874933392265547,30.526211865936766,29.306158403339204,398.5397562408538,29.10612437037675,29.688864518478105,23.31612886848536,24.056237592456064,23.081118113707973,24.989808689321556,23.614578559990523,21.76356321678056,24.93601579386545
26,22.809337828543587,12.780963725487725,29.564967338137315,17.90119564145295,31.259688162552298,52.543139092220365,44.452986374152054,4.786994884799441,5.897851081499457,4.639464585732201,5.244980468773634,3.8727152884471683,4.19548773691425,3.497144437929892,2.1528337771487536,6.13612466437477,8.049495395205565,10.65138444632056,13.488548231569153,454.00332685037205,8.062372101191688,5.189865089608361,7.772937336975086,4.108049628954165,1.9842651284536217,0.0,34.838542617784285,26.14093743299174,37.35161749671632,26.263720441620706,30.611249042871844,30.598843225841623,29.51824636868631,397.4926933882257,29.39444010782461,29.592917178449916,23.28787784316971,24.221157661101365,23.35207120413833,25.4236767377089,24.25665125517736,22.682059010428116,26.168481330268044
27,13.921955818499919,22.05826527846105,57.7920941263646,45.937838393224986,8.080308812551989,78.19868188186555,71.58893888880264,38.745389246887804,39.07331515797357,38.130416652402474,37.32556623605057,37.389436254592354,38.33093168521004,37.57217694284354,36.743235566376136,39.963630961126654,40.75012853999999,43.098121501413324,40.46334548520485,482.82896657392246,32.19493388421436,32.241157814581065,28.992826027750244,31.0291827959219,33.09681973799215,34.838542617784285,0.0,39.842954077118634,60.487925939275165,10.214076831400254,50.322591959474494,32.04449107853689,29.654184110685673,427.8937734794931,28.527043571478476,33.97062048767659,30.952192942580126,28.87407823869051,27.47774264013506,25.685947979694348,22.969195404187754,19.82491060875577,14.43860115140775
28,36.01493815200041,26.97573607234363,22.52982189022656,16.101773480186743,41.72317256715104,76.89803602038356,33.436714859046816,24.286180214911486,23.02138228306266,23.59507438584822,22.0110014774649,23.759915311871794,24.61134454104509,24.548321315708133,25.528336204159565,24.06435093814403,22.209316003415168,21.920222402189864,14.984014848110768,472.90154809954413,18.511334736901212,21.50422444499356,21.176994212929372,27.218028171705484,26.822098362277664,26.14093743299174,39.842954077118634,0.0,21.249871600410835,29.940610599023092,10.834677802503746,11.67867249221683,12.992117544204891,414.85472455591724,13.947256561434395,9.00295378419664,8.899560695868741,11.127124478584967,12.403653909393952,14.604798505310958,16.98232209667457,20.05666089055448,25.42731523542354
29,54.46273174627535,44.005182437154374,11.087039367515825,19.522582925772326,61.30184548231027,78.38252007590164,12.716323806724953,33.23201660819184,31.825949694181464,32.99287438510975,32.10720083958434,33.626834649433135,33.81158003891289,34.23872700096362,35.67045346464407,32.194578075327904,29.86419858700144,27.746316008027083,24.115657290901385,462.95592226275846,32.67513059556892,34.846741022691106,36.39594673815674,40.33633495370567,38.92673165574689,37.35161749671632,60.487925939275165,21.249871600410835,0.0,50.35001112273591,10.415672749529246,32.239963838310786,33.9600509217023,403.5248252451797,34.99826179997502,29.54372141969819,29.943338790270985,32.29234499491238,33.44586429491668,35.81352003839546,38.0242101263759,40.71312583470633,46.25518534810219
30,11.068113204515718,13.859834517189876,47.609012097626085,35.84506360287742,12.528059195636217,73.79806079587195,61.37661190224373,29.678518435241696,29.818119812082998,28.993093902290607,28.00267416625151,28.306867716120962,29.3316603210275,28.59954623936505,27.966911124217614,30.806286945867985,31.324039212830343,33.537267459667106,30.425530263068477,477.96175306034496,22.48225223219531,22.939699346304085,19.599784566670543,22.849547908626878,24.738494234771608,26.263720441620706,10.214076831400254,29.940610599023092,50.35001112273591,0.0,40.25711739017634,23.324016372875874,20.928068873175746,422.2811132850673,19.87528199526107,24.881595213028877,21.119842722226245,19.22064418861835,17.736823585368438,16.34194667361584,13.439930129038315,9.909050650716676,5.262087565930588
31,45.148218011986735,35.12890055801588,14.148862959738517,14.511136534865672,51.567541194707964,76.99961100547112,22.76486078046214,27.254052066321456,25.819383577534364,26.802732204040655,25.560683410229377,27.271934578601314,27.756594308761606,27.994832847198072,29.307247752706857,26.51214506797519,24.224262044477975,22.76551697431114,17.19989645450151,467.7995230412484,24.534676914837785,27.126245052923913,28.018329841451393,32.91527710680489,31.874933392265547,30.611249042871844,50.322591959474494,10.834677802503746,10.415672749529246,40.25711739017634,0.0,21.983493160344935,23.60977118432552,409.03969334713446,24.629070539744692,19.269684985137907,19.58171900460438,21.903543275491288,23.093592201671566,25.413761790249747,27.68024834502254,30.502507101698942,35.99851397877359
32,32.196669803775485,26.117557020793686,34.1837049217795,26.408511904562225,35.84354467109723,83.09508993606642,44.747083672253346,30.49558940138665,29.563721205992934,29.68606559101513,28.035476426398784,29.541501565880445,30.613595378989817,30.27670360863853,30.793932961369848,30.758862381624724,29.518033608052743,30.12403949325396,23.49403931963339,482.35160614345455,22.601403468323014,25.412825808705374,23.532701329792424,30.078774088688007,30.526211865936766,30.598843225841623,32.04449107853689,11.67867249221683,32.239963838310786,23.324016372875874,21.983493160344935,0.0,2.4057835503159746,424.8061499180325,3.5177275335728027,2.7183062149508253,7.391155469848725,6.5514969875356766,7.821676416674059,7.394486589646898,10.309252155597836,14.202409452067897,18.116366719708765
