행정구역코드,아파트비율_퍼센트
31270340,34.82
31270350,2.87
31270360,1.63
31270370,12.0
31270380,19.5
31270390,21.72
31270400,1.51
31270410,21.37
31270510,42.71
31270520,8.62
31280110,38.76
31280310,0.0
31280330,0.0
31280340,0.0
31280350,0.0
31280360,3.08
31280370,0.0
31280380,0.0
31280390,3.19
31280510,46.19
31280520,51.9
31280530,56.02
31350110,30.55
31350120,44.36
31350310,2.31
31350320,12.3
31350330,0.0
31350340,0.0
31350350,0.0
31350360,10.8
31350370,0.0
31350380,0.0
31370110,31.09
31370310,5.74
31370320,30.23
31370330,1.4
31370350,3.13
31370360,13.61
31380110,38.06
31380310,30.4
31380320,0.0
31380330,13.19
31380340,2.47
31380350,0.0
31380360,0.0
31380370,0.0
31380380,0.81
31380390,0.79
31380400,17.93
31380410,1.79
