dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도
23060660,부개1동,0,927861.0711410766,6.039938695404098,1.9302334304774689,14.625441609462412,0,1648,8627,5573,3771,1321,35.01,1,0
23060670,부개2동,0,722207.6394129527,5.802689009630424,4.419483337152251,12.749214438367648,0,2775,11326,5010,3402,1250,67.12,1,0
23060680,부개3동,0,869757.6074790589,5.313164301094797,5.674447130476599,11.139435437503362,0,3884,17465,7265,4417,1682,91.69,2,0
23060690,일신동,0,4327179.893256089,2.6573448854812134,0.8705911967709782,1.7514143290749236,0,1647,6458,3634,6281,1313,59.99,2,0
23060700,십정1동,0,1739827.5583999243,5.592608943039498,1.560123302505238,7.266486424132151,0,3340,15366,5840,6628,1539,78.26,3,0
23060710,십정2동,0,1089932.3724940124,10.165824361369914,3.084487025134073,17.75567292160354,0,2059,11968,7201,5855,2275,31.46,5,0
23060720,삼산2동,0,1351600.3472381204,6.036247922456757,2.9434521247344008,5.859606619055368,0,5434,16572,5691,10976,2530,98.61,2,0
23070510,효성1동,0,2081340.301196318,3.135378956873411,2.04307908898014,6.455033128121264,0,3565,15463,7595,4903,1557,71.03,1,0
23070520,효성2동,0,2908541.4803740107,3.627866555951373,0.8864905679681404,4.549717076800225,0,3633,15680,8014,7523,1966,66.87,1,0
23070530,계산1동,0,1456386.3806299174,8.667229855918691,3.3022142562668644,9.563262350406186,0,1565,10530,5829,8566,2692,36.83,2,0
23070540,계산2동,0,1582885.061048987,3.9644065871506498,2.653815218832112,7.884848305810179,0,1210,8551,4947,5361,1334,46.62,2,0
23070550,계산3동,0,521934.6267364881,6.050495340179643,4.382814552985522,14.000149617528828,0,1851,11158,4984,8130,998,90.17,3,0
23070560,작전1동,0,831423.8624097704,6.756502386554901,4.657997107246448,13.03227074446434,0,3572,15663,6873,4671,1611,84.6,1,0
23070570,작전2동,0,967317.6369148648,12.187763004823324,1.945274170226979,12.571591437350712,0,1876,10599,5836,7843,2094,68.79,2,0
23070580,작전서운동,0,3276346.7321984195,7.196983276159384,1.3817694897720274,3.36216325120023,0,5258,20863,7098,17010,3092,81.28,0,0
23070610,계양2동,0,4156051.4950590273,2.418621280218064,1.0909224931567831,4.458343017798576,0,3515,19351,9306,6386,2350,54.28,3,0
23070620,계산4동,0,850271.049002766,13.024846403085837,4.141562217938253,5.667193465240687,0,3465,14066,4972,17698,4207,98.45,1,0
23070630,계양1동,0,17059703.82925015,0.9095886526081796,0.4141093763460812,1.0208119667261215,0,2475,11169,5726,4482,1351,54.94,3,0
23070640,계양3동,0,9811156.760748075,1.7119438539062928,1.0301431172788822,1.5046497529247809,0,4633,14095,5280,4523,1606,49.86,4,0
