dong_code,dong_name,station_count_준고속철도,station_count_2023_준고속철도,행정동전체면적_m2_x,상업업무지역비율_pct_x,공공시설지역비율_pct_x,주거지역비율_pct_x,행정동전체면적_m2_y,상업업무지역비율_pct_y,공공시설지역비율_pct_y,주거지역비율_pct_y,station_count_고속철도,station_count_2023_고속철도,pop_0_19_x,pop_20_59_x,pop_60_plus_x,worker_count_x,business_count_x,아파트비율_퍼센트_x,아파트비율_퍼센트_y,station_count_2023_일반철도,station_count_지하철,station_count_2023_지하철,pop_0_19_y,pop_20_59_y,pop_60_plus_y,worker_count_y,business_count_y,station_count_일반철도
31030700,송산2동,0,0,1449692.0473893925,2.604860933603677,0.9053673932775246,40.366117408687224,1449692.0473893925,2.604860933603677,0.9053673932775246,40.366117408687224,0,0,5804,19339,6869,5786,1941,95.22,95.22,0,3,3,5804,19339,6869,5786,1941,0
31030710,송산3동,0,0,9306172.38147,0.0,0.0,2.4269508346913957,9306172.38147,0.0,0.0,2.4269508346913957,0,0,10624,27092,7740,12952,3703,98.13,98.13,0,2,2,10624,27092,7740,12952,3703,0
31041510,안양1동,0,0,606692.3575616822,31.52683613568344,0.0,25.686377680072376,606692.3575616822,31.52683613568344,0.0,25.686377680072376,0,0,1636,7319,2928,7022,2230,95.5,95.5,2,1,1,1636,7319,2928,7022,2230,2
31041520,안양2동,0,0,1709180.9247462344,8.665519518631292,3.955756839559886,26.909767819066776,1709180.9247462344,8.665519518631292,3.955756839559886,26.909767819066776,0,0,2717,13779,6487,6827,2038,56.51,56.51,2,1,1,2717,13779,6487,6827,2038,2
31041530,안양3동,0,0,728205.5990294788,3.322061412330806,0.0,43.88636165706129,728205.5990294788,3.322061412330806,0.0,43.88636165706129,0,0,1716,8886,5085,4954,1346,37.91,37.91,2,1,1,1716,8886,5085,4954,1346,2
31041540,안양4동,0,0,310155.67853813164,24.89286028212599,0.0,44.95790290428753,310155.67853813164,24.89286028212599,0.0,44.95790290428753,0,0,603,3855,2280,5280,1708,57.3,57.3,2,1,1,603,3855,2280,5280,1708,2
31041550,안양5동,0,0,644161.8725074483,6.182721149432989,0.0,52.15933091021928,644161.8725074483,6.182721149432989,0.0,52.15933091021928,0,0,1049,5563,3400,4870,978,43.99,43.99,0,0,0,1049,5563,3400,4870,978,0
31041560,안양6동,0,0,1440984.1170621174,10.586391236768142,7.57667131145028,20.468141105932993,1440984.1170621174,10.586391236768142,7.57667131145028,20.468141105932993,0,0,3396,16803,6358,10395,2729,64.3,64.3,0,1,1,3396,16803,6358,10395,2729,0
31041570,안양7동,0,0,1054269.2361587386,10.658991616737646,0.0,23.58158549288876,1054269.2361587386,10.658991616737646,0.0,23.58158549288876,0,0,2741,9157,3108,20688,3650,94.4,94.4,0,1,1,2741,9157,3108,20688,3650,0
31041580,안양8동,0,0,1169433.1691022962,2.077544382062336,4.152945686266985,23.71150856868737,1169433.1691022962,2.077544382062336,4.152945686266985,23.71150856868737,0,0,757,4764,2818,4543,872,14.57,14.57,0,1,1,757,4764,2818,4543,872,0
31041590,안양9동,0,0,6529738.056990287,0.0261830740387926,0.0,6.397984169378888,6529738.056990287,0.0261830740387926,0.0,6.397984169378888,0,0,1812,8987,5725,2086,794,59.62,59.62,0,0,0,1812,8987,5725,2086,794,0
31041600,석수1동,0,0,10369360.637145195,0.5728418324889334,0.3455281439011118,4.902021500377765,10369360.637145195,0.5728418324889334,0.3455281439011118,4.902021500377765,0,0,2498,10695,5671,6013,1279,76.71,76.71,0,2,2,2498,10695,5671,6013,1279,0
31041610,석수2동,0,0,3313257.1346386974,2.3969791680131416,0.9881110214583684,18.383143722492107,3313257.1346386974,2.3969791680131416,0.9881110214583684,18.383143722492107,2,2,3888,17515,8694,9633,2044,62.37,62.37,0,3,3,3888,17515,8694,9633,2044,0
31041620,석수3동,0,0,788986.5561575763,1.300873629581789,9.037504805623149,33.351691028804474,788986.5561575763,1.300873629581789,9.037504805623149,33.351691028804474,0,0,1755,7161,3619,1674,678,39.08,39.08,0,0,0,1755,7161,3619,1674,678,0
31041630,박달1동,0,0,451171.36178091547,7.2092168198821,4.972502015355643,64.5604626165038,451171.36178091547,7.2092168198821,4.972502015355643,64.5604626165038,0,0,1401,7980,4799,3309,1397,41.68,41.68,0,0,0,1401,7980,4799,3309,1397,0
31041640,박달2동,0,0,7427220.977638658,0.3890929445482385,0.6575311219316162,5.4040618943513845,7427220.977638658,0.3890929445482385,0.6575311219316162,5.4040618943513845,2,2,3885,12457,4917,5879,1206,85.06,85.06,0,1,1,3885,12457,4917,5879,1206,0
31042510,비산1동,0,0,2098510.499942882,1.283273638646548,0.8688199582750155,20.250398789307685,2098510.499942882,1.283273638646548,0.8688199582750155,20.250398789307685,0,0,5081,17303,6416,3276,995,99.39,99.39,2,1,1,5081,17303,6416,3276,995,2
31042520,비산2동,0,0,476894.19088859495,6.520978289136946,0.0,47.4519450935629,476894.19088859495,6.520978289136946,0.0,47.4519450935629,0,0,2537,8663,3347,2489,700,98.78,98.78,0,0,0,2537,8663,3347,2489,700,0
31042530,비산3동,0,0,5335692.501103672,1.3192843091208446,3.030110809731908,8.371143510985862,5335692.501103672,1.3192843091208446,3.030110809731908,8.371143510985862,0,0,1279,6515,3644,5538,1284,54.28,54.28,0,0,0,1279,6515,3644,5538,1284,0
