dong_code,dong_name,station_count_지하철,행정동전체면적_m2,주거지역비율_pct,상업업무지역비율_pct,공공시설지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,station_count_준고속철도,station_count_일반철도,아파트비율_퍼센트,worker_density,business_density,station_density_지하철,기타지역비율_pct
11060900,이문2동,2,723336.14,18.88,12.85,1.91,0,3339.0,12139.0,5204.0,2126.0,521.0,0,0,74.86,0.0029391591023927113,0.0007202737028911583,2.764966229908477e-06,66.36
11070520,면목2동,6,762536.38,30.79,15.26,2.79,0,3222.0,16080.0,6295.0,5974.0,1730.0,1,0,36.94,0.007834380308414475,0.002268744213852869,7.868477042264286e-06,51.16
11070540,면목4동,2,842818.46,18.77,6.72,3.12,0,2529.0,12082.0,5144.0,3561.0,894.0,0,0,52.8,0.004225109165214238,0.0010607266480487302,2.372990264091119e-06,71.39
11070550,면목5동,2,704395.21,14.87,8.95,1.87,0,1206.0,6040.0,2454.0,2889.0,669.0,0,0,8.85,0.004101390751874912,0.0009497509217737335,2.839315162253314e-06,74.31
11070710,면목본동,5,848365.78,46.52,16.02,3.37,0,4031.0,22829.0,8481.0,7328.0,2219.0,1,0,9.17,0.008637783574808525,0.002615617051378291,5.893684207702323e-06,34.09
11070570,면목7동,2,1234524.02,15.81,6.36,1.3,0,2565.0,13453.0,5854.0,4105.0,1247.0,0,0,46.12,0.003325168189086145,0.001010105902994013,1.6200575829895956e-06,76.53
11070720,면목3·8동,2,1613531.43,16.35,6.81,2.3,0,2969.0,16185.0,6987.0,7338.0,1790.0,0,0,30.6,0.004547788697214607,0.0011093679160553483,1.2395172246428474e-06,74.53999999999999
11070590,상봉1동,7,853561.84,18.05,6.89,4.09,0,4147.0,15797.0,5390.0,6369.0,904.0,1,0,67.87,0.0074616737785810384,0.001059091395169926,8.200928944899869e-06,70.97
11070600,상봉2동,8,676924.95,25.36,22.27,1.32,0,1752.0,13573.0,4186.0,9150.0,2003.0,1,0,24.67,0.013517008052170083,0.002958969085081604,1.181814911665144e-05,51.05
11070610,중화1동,6,641000.91,28.5,6.55,5.2,0,2885.0,12847.0,4994.0,3345.0,844.0,1,0,37.41,0.005218401327929185,0.0013166907984371397,9.360361126330378e-06,59.75
11070620,중화2동,7,1016175.92,31.79,11.88,2.3,0,2565.0,16914.0,7241.0,6462.0,1802.0,1,0,13.23,0.006359135138664188,0.0017733149984328176,6.888571026098625e-06,54.03
11070640,묵1동,6,1237485.18,21.66,4.83,3.36,0,5938.0,21926.0,7972.0,5386.0,1205.0,0,0,58.91,0.004352375355280195,0.0009737490351118892,4.848542913420195e-06,70.15
11070650,묵2동,6,668690.76,27.5,9.8,3.48,0,2532.0,12237.0,4895.0,4087.0,1210.0,0,0,31.2,0.0061119432844247475,0.0018095060861644102,8.972757452054927e-06,59.22
11070730,망우본동,5,2945831.54,9.54,7.3,2.17,0,3640.0,18715.0,8356.0,10522.0,2347.0,0,1,41.24,0.0035718267854394285,0.0007967190140112468,1.6973136216686127e-06,80.99000000000001
11070680,망우3동,0,961818.53,22.1,6.0,2.39,0,2198.0,10715.0,4661.0,3515.0,901.0,0,0,1.67,0.0036545355390101026,0.000936767146699318,0.0,69.50999999999999
11070690,신내1동,7,2604936.63,6.98,3.58,1.63,0,7630.0,23648.0,9439.0,10867.0,1366.0,0,1,87.56,0.00417169457207037,0.0005243889560548566,2.687205484907757e-06,87.81
11070700,신내2동,3,910579.92,6.3,2.94,3.49,0,3435.0,12908.0,5473.0,6176.0,826.0,0,0,95.74,0.006782490876728509,0.0009071142267127182,3.294603728980817e-06,87.27
11080810,성북동,3,2877749.92,19.01,2.53,2.22,0,2159.0,10745.0,4150.0,5246.0,1103.0,0,0,10.54,0.0018229520096665558,0.00038328556360316644,1.042481134006799e-06,76.24
11080820,삼선동,7,925528.35,35.39,7.84,6.02,0,3453.0,16247.0,5637.0,8778.0,1693.0,0,0,39.47,0.009484312392921468,0.0018292254364566012,7.563247522265923e-06,50.75
11080830,동선동,5,724236.31,30.77,13.21,7.61,0,1649.0,10756.0,3020.0,9907.0,1981.0,0,0,21.19,0.0136792368223891,0.002735295058559888,6.903823974154184e-06,48.41
