dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1116066,가양3동,서울특별시,강서구,1026,7837,5253,7209,1006,2023,2023
1116067,발산1동,서울특별시,강서구,7198,20542,7913,35989,6432,2023,2023
1116069,공항동,서울특별시,강서구,5075,17823,6563,34783,2480,2023,2023
1116070,방화1동,서울특별시,강서구,7404,23936,10659,12672,3289,2023,2023
1116071,방화2동,서울특별시,강서구,2252,13265,7181,11494,2292,2023,2023
1116072,방화3동,서울특별시,강서구,2420,11828,7744,4612,1042,2023,2023
1116073,화곡1동,서울특별시,강서구,4174,33650,12950,10246,3869,2023,2023
1116074,우장산동,서울특별시,강서구,8548,25758,9402,7141,2370,2023,2023
1117051,신도림동,서울특별시,구로구,6565,21914,7519,17291,3437,2023,2023
1117052,구로1동,서울특별시,구로구,3467,12505,4538,2888,1023,2023,2023
1117054,구로3동,서울특별시,구로구,2277,15891,5126,90351,9883,2023,2023
1117055,구로4동,서울특별시,구로구,1481,10727,6445,6628,2347,2023,2023
1117056,구로5동,서울특별시,구로구,2923,18850,7348,24272,4204,2023,2023
1117061,고척1동,서울특별시,구로구,3506,16085,6793,10524,2934,2023,2023
1117062,고척2동,서울특별시,구로구,3307,14473,8023,4489,1990,2023,2023
1117064,개봉2동,서울특별시,구로구,3680,16319,9731,3818,1495,2023,2023
1117065,개봉3동,서울특별시,구로구,2153,10904,6520,8404,1216,2023,2023
1117067,오류1동,서울특별시,구로구,2052,14667,5937,5032,1707,2023,2023
1117069,수궁동,서울특별시,구로구,2939,12713,7068,5938,1494,2023,2023
1117070,가리봉동,서울특별시,구로구,401,5517,2848,3895,1056,2023,2023
1117071,구로2동,서울특별시,구로구,1786,12515,8138,29446,8862,2023,2023
1117072,개봉1동,서울특별시,구로구,4130,19034,9967,5687,2226,2023,2023
1117073,오류2동,서울특별시,구로구,6046,20649,10593,7863,2059,2023,2023
1117074,항동,서울특별시,구로구,3939,9531,2865,3866,1123,2023,2023
1118051,가산동,서울특별시,금천구,1187,19105,4403,183549,25031,2023,2023
1118052,독산1동,서울특별시,금천구,5298,31385,9654,24359,5105,2023,2023
1118053,독산2동,서울특별시,금천구,1697,10437,5682,3556,1343,2023,2023
1118054,독산3동,서울특별시,금천구,1840,14330,7423,6229,2320,2023,2023
1118055,독산4동,서울특별시,금천구,1273,8539,4719,2856,1220,2023,2023
1118057,시흥1동,서울특별시,금천구,3415,19055,9650,15999,3850,2023,2023
1118058,시흥2동,서울특별시,금천구,3157,10996,6417,2379,823,2023,2023
1118059,시흥3동,서울특별시,금천구,1026,5590,3615,8821,3463,2023,2023
1118060,시흥4동,서울특별시,금천구,2039,10711,6646,1940,905,2023,2023
1118061,시흥5동,서울특별시,금천구,1879,9838,6475,3650,1259,2023,2023
1119054,여의동,서울특별시,영등포구,5270,19159,8921,185171,17285,2023,2023
1119055,당산1동,서울특별시,영등포구,1867,14205,4944,27681,5679,2023,2023
1119056,당산2동,서울특별시,영등포구,4696,24849,7142,28858,4050,2023,2023
1119061,양평1동,서울특별시,영등포구,2154,12583,3409,24405,2903,2023,2023
1119062,양평2동,서울특별시,영등포구,2860,15521,4152,22988,3153,2023,2023
1119063,신길1동,서울특별시,영등포구,1594,12561,5167,4321,1342,2023,2023
1119065,신길3동,서울특별시,영등포구,2044,9244,4710,2808,1155,2023,2023
1119066,신길4동,서울특별시,영등포구,1571,7011,3604,1371,545,2023,2023
1119067,신길5동,서울특별시,영등포구,1380,5513,3051,1939,611,2023,2023
1119068,신길6동,서울특별시,영등포구,2026,10840,4856,4565,1465,2023,2023
1119069,신길7동,서울특별시,영등포구,3668,12049,4085,3141,850,2023,2023
1119070,대림1동,서울특별시,영등포구,1441,7767,4523,5072,1257,2023,2023
1119071,대림2동,서울특별시,영등포구,831,7002,3923,4649,1920,2023,2023
1119072,대림3동,서울특별시,영등포구,2129,12431,6999,8768,2685,2023,2023
