시도,시군구명칭,읍면동명칭,행정구역코드,아파트수,전체주택수,아파트비율_퍼센트
서울,관악구,신사동,11210680,298,4430,6.73
서울,관악구,신림동,11210690,1175,7352,15.98
서울,관악구,난향동,11210710,3801,4843,78.48
서울,관악구,조원동,11210720,1241,4784,25.94
서울,관악구,대학동,11210730,2005,4801,41.76
서울,관악구,은천동,11210780,5997,10866,55.19
서울,관악구,성현동,11210790,8535,10865,78.55
서울,관악구,청룡동,11210800,3461,12178,28.42
서울,관악구,난곡동,11210810,914,7617,12.0
서울,관악구,삼성동,11210820,4708,7913,59.5
서울,관악구,미성동,11210830,3655,9181,39.81
서울,서초구,서초1동,11220510,4292,6803,63.09
서울,서초구,서초2동,11220520,4729,7016,67.4
서울,서초구,서초3동,11220530,5241,10235,51.21
서울,서초구,서초4동,11220540,8873,9957,89.11
서울,서초구,잠원동,11220550,10032,11187,89.68
서울,서초구,반포본동,11220560,3553,3572,99.47
서울,서초구,반포1동,11220570,6458,9237,69.91
서울,서초구,반포2동,11220580,4639,4644,99.89
서울,서초구,반포3동,11220590,6249,6356,98.32
서울,서초구,반포4동,11220600,3721,5930,62.75
서울,서초구,방배본동,11220610,3453,5688,60.71
서울,서초구,방배1동,11220620,1835,5294,34.66
서울,서초구,방배2동,11220630,2106,5570,37.81
서울,서초구,방배3동,11220640,4351,6868,63.35
서울,서초구,방배4동,11220650,3480,7357,47.3
서울,서초구,양재1동,11220660,10484,14574,71.94
서울,서초구,양재2동,11220670,888,6948,12.78
서울,서초구,내곡동,11220680,4636,5989,77.41
서울,강남구,신사동,11230510,3485,4883,71.37
서울,강남구,개포3동,11230511,6479,6898,93.93
서울,강남구,논현1동,11230520,1432,7006,20.44
서울,강남구,논현2동,11230530,2718,6766,40.17
서울,강남구,삼성1동,11230580,2939,4718,62.29
서울,강남구,삼성2동,11230590,6357,9744,65.24
서울,강남구,대치1동,11230600,6851,7031,97.44
서울,강남구,대치4동,11230630,1710,6250,27.36
서울,강남구,역삼1동,11230640,2419,13280,18.22
서울,강남구,역삼2동,11230650,8093,11631,69.58
서울,강남구,도곡1동,11230660,5589,6898,81.02
서울,강남구,도곡2동,11230670,9424,10479,89.93
서울,강남구,개포1동,11230680,1499,1666,89.98
서울,강남구,개포4동,11230710,1154,5081,22.71
서울,강남구,일원본동,11230720,6742,7137,94.47
서울,강남구,일원1동,11230730,3009,4681,64.28
서울,강남구,수서동,11230750,6899,7358,93.76
서울,강남구,세곡동,11230760,11155,15347,72.69
서울,강남구,압구정동,11230770,7527,8672,86.8
서울,강남구,청담동,11230780,6703,9302,72.06
서울,강남구,대치2동,11230790,9902,11223,88.23
서울,강남구,개포2동,11230800,6163,6779,90.91
서울,송파구,풍납1동,11240510,1596,3340,47.78
서울,송파구,풍납2동,11240520,4784,6829,70.05
서울,송파구,거여1동,11240530,1521,3429,44.36
서울,송파구,거여2동,11240540,4424,5438,81.35
서울,송파구,마천1동,11240550,2261,5240,43.15
서울,송파구,마천2동,11240560,1300,5265,24.69
서울,송파구,방이1동,11240570,2145,4952,43.32
서울,송파구,방이2동,11240580,1129,9821,11.5
서울,송파구,오륜동,11240590,5497,5503,99.89
서울,송파구,오금동,11240600,7099,12592,56.38
서울,송파구,송파1동,11240610,1263,9102,13.88
서울,송파구,송파2동,11240620,4546,6309,72.06
서울,송파구,석촌동,11240630,1064,12247,8.69
서울,송파구,삼전동,11240640,482,11125,4.33
서울,송파구,가락본동,11240650,4914,8892,55.26
서울,송파구,가락1동,11240660,9464,9469,99.95
서울,송파구,가락2동,11240670,6368,10328,61.66
서울,송파구,문정1동,11240680,3177,6717,47.3
서울,송파구,문정2동,11240690,5531,14460,38.25
서울,송파구,잠실본동,11240710,1145,9937,11.52
서울,송파구,잠실4동,11240750,6803,6851,99.3
서울,송파구,잠실6동,11240770,5217,5477,95.25
서울,송파구,잠실7동,11240780,3171,3171,100.0
서울,송파구,잠실2동,11240790,11036,11036,100.0
서울,송파구,잠실3동,11240800,10950,11233,97.48
서울,송파구,장지동,11240810,8026,11275,71.18
서울,송파구,위례동,11240820,8696,8720,99.72
서울,강동구,명일1동,11250530,6551,7958,82.32
서울,강동구,명일2동,11250540,4137,4939,83.76
서울,강동구,고덕1동,11250550,6714,7387,90.89
서울,강동구,고덕2동,11250560,2131,3053,69.8
서울,강동구,암사2동,11250580,3593,4837,74.28
서울,강동구,암사3동,11250590,4772,5586,85.43
서울,강동구,천호1동,11250610,2541,7634,33.29
서울,강동구,천호3동,11250630,4392,8976,48.93
서울,강동구,성내1동,11250650,3173,6409,49.51
서울,강동구,성내2동,11250660,1773,6551,27.06
서울,강동구,성내3동,11250670,2655,6663,39.85
서울,강동구,둔촌1동,11250700,0,5,0.0
서울,강동구,둔촌2동,11250710,4924,7951,61.93
서울,강동구,암사1동,11250720,2790,9921,28.12
서울,강동구,천호2동,11250730,2636,10235,25.75
서울,강동구,길동,11250740,7800,14389,54.21
서울,강동구,강일동,11250750,7651,8323,91.93
서울,강동구,상일1동,11250760,1280,2820,45.39
서울,강동구,상일2동,11250770,2198,2267,96.96
인천,중구,연안동,23010520,2311,2745,84.19
인천,중구,신포동,23010530,540,2014,26.81
인천,중구,신흥동,23010540,3205,5171,61.98
인천,중구,도원동,23010560,165,1609,10.25
인천,중구,율목동,23010570,0,1583,0.0
인천,중구,동인천동,23010580,176,2144,8.21
인천,중구,용유동,23010630,0,1523,0.0
인천,중구,운서동,23010640,5938,11054,53.72
인천,중구,영종동,23010650,1542,4701,32.8
인천,중구,개항동,23010670,681,3067,22.2
인천,중구,영종1동,23010681,8728,8826,98.89
인천,중구,영종2동,23010691,5005,5039,99.33
인천,동구,만석동,23020510,1671,2846,58.71
인천,동구,화수1·화평동,23020520,706,2209,31.96
인천,동구,화수2동,23020530,2229,3284,67.87
인천,동구,송현1·2동,23020550,3346,3897,85.86
인천,동구,송현3동,23020570,1525,1766,86.35
인천,동구,송림1동,23020580,318,597,53.27
인천,동구,송림2동,23020590,36,963,3.74
인천,동구,송림3·5동,23020600,1503,2809,53.51
인천,동구,송림4동,23020610,1009,1409,71.61
인천,동구,송림6동,23020630,1426,2403,59.34
인천,동구,금창동,23020640,0,1064,0.0
인천,연수구,옥련1동,23040510,4391,6937,63.3
인천,연수구,선학동,23040520,4695,6001,78.24
인천,연수구,연수1동,23040530,3522,4739,74.32
인천,연수구,연수2동,23040540,7281,8455,86.11
인천,연수구,연수3동,23040550,7068,7068,100.0
인천,연수구,청학동,23040560,4500,8232,54.66
인천,연수구,동춘1동,23040570,7979,8367,95.36
인천,연수구,동춘2동,23040580,6505,6539,99.48
인천,연수구,동춘3동,23040590,5541,5541,100.0
인천,연수구,옥련2동,23040600,5733,7123,80.49
인천,연수구,송도1동,23040640,9922,11403,87.01
인천,연수구,송도3동,23040650,14025,16376,85.64
인천,연수구,송도2동,23040660,10571,11398,92.74
