철도역명,구분,노선_열차종류,행정동코드_500m,행정동코드_1000m,대표ID
오산역,일반철도,ITX-새마을,"[31140510, 31140530, 31140560, 31140581]","[31140510, 31140530, 31140560, 31140572, 31140581, 31140582]",ST000548
오산역,일반철도,무궁화,"[31140510, 31140530, 31140560, 31140581]","[31140510, 31140530, 31140560, 31140572, 31140581, 31140582]",ST000548
오산역,지하철,1호선,"[31140510, 31140530, 31140560, 31140581]","[31140510, 31140530, 31140560, 31140572, 31140581, 31140582]",ST000548
오이도역,지하철,4호선,"[31150611, 31150640, 31150720]","[31150611, 31150640, 31150720, 31150740, 31150750]",ST000525
오이도역,지하철,수인분당선,"[31150611, 31150640, 31150720]","[31150611, 31150640, 31150720, 31150740, 31150750]",ST000525
오이도역,지하철,안산과천선,"[31150611, 31150640, 31150720]","[31150611, 31150640, 31150720, 31150740, 31150750]",ST000525
오이도역,지하철,안산선,"[31150611, 31150640, 31150720]","[31150611, 31150640, 31150720, 31150740, 31150750]",ST000525
옥수역,지하철,3호선,"[11030740, 11040620, 11040730]","[11020710, 11030740, 11040620, 11040720, 11040730, 11230510, 11230770]",ST000165
옥수역,지하철,경의중앙선,"[11030740, 11040620, 11040730]","[11020710, 11030740, 11040620, 11040720, 11040730, 11230510, 11230770]",ST000165
온수역,지하철,1호선,"[11170690, 11170730, 11170740, 31051571, 31052601]","[11170690, 11170730, 11170740, 31051571, 31051591, 31052601]",ST000309
온수역,지하철,7호선,"[11170690, 11170730, 11170740, 31051571, 31052601]","[11170690, 11170730, 11170740, 31051571, 31051591, 31052601]",ST000309
올림픽공원역,지하철,5호선,[11240590],"[11240570, 11240580, 11240590, 11240600, 11250650, 11250670, 11250700, 31180670]",ST000235
올림픽공원역,지하철,9호선,[11240590],"[11240570, 11240580, 11240590, 11240600, 11250650, 11250670, 11250700, 31180670]",ST000235
완정역,지하철,인천2호선,"[23080850, 23080860]","[23080510, 23080800, 23080810, 23080840, 23080850, 23080860]",ST000072
왕길역,지하철,인천2호선,[23080840],[23080840],ST000069
왕십리역,지하철,2호선,"[11040520, 11040540, 11040550, 11040560, 11040570, 11040710]","[11020650, 11040520, 11040540, 11040550, 11040560, 11040570, 11040580, 11040590, 11040710]",ST000109
왕십리역,지하철,5호선,"[11040520, 11040540, 11040550, 11040560, 11040570, 11040710]","[11020650, 11040520, 11040540, 11040550, 11040560, 11040570, 11040580, 11040590, 11040710]",ST000109
왕십리역,지하철,경의중앙선,"[11040520, 11040540, 11040550, 11040560, 11040570, 11040710]","[11020650, 11040520, 11040540, 11040550, 11040560, 11040570, 11040580, 11040590, 11040710]",ST000109
왕십리역,지하철,수인분당선,"[11040520, 11040540, 11040550, 11040560, 11040570, 11040710]","[11020650, 11040520, 11040540, 11040550, 11040560, 11040570, 11040580, 11040590, 11040710]",ST000109
외대앞역,지하철,1호선,"[11060720, 11060890, 11060900]","[11060710, 11060720, 11060730, 11060890, 11060900, 11070520, 11070600, 11070620, 11080850]",ST000654
용답역,지하철,2호선,"[11010530, 11010610, 11020520, 11020550]","[11010530, 11010580, 11010610, 11020520, 11020540, 11020550, 11020600, 11020680, 11130730]",ST000146
용두역,지하철,2호선,"[11040540, 11040700, 11060810, 11060820, 11060910]","[11040540, 11040560, 11040700, 11040710, 11060800, 11060810, 11060820, 11060830, 11060910]",ST000144
