dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1110055,방학1동,서울특별시,도봉구,4117,17689,7955,13315,2012,2019,2019
1110056,방학2동,서울특별시,도봉구,2664,12329,5957,2620,930,2019,2019
1110057,방학3동,서울특별시,도봉구,5107,16596,7000,2797,526,2019,2019
1110059,창1동,서울특별시,도봉구,4105,15748,6248,3255,835,2019,2019
1110060,창2동,서울특별시,도봉구,4491,18646,7080,4097,1079,2019,2019
1110061,창3동,서울특별시,도봉구,2021,8743,3914,1954,699,2019,2019
1110062,창4동,서울특별시,도봉구,4806,16995,5973,7302,1091,2019,2019
1110063,창5동,서울특별시,도봉구,3847,15686,6151,6455,1253,2019,2019
1110064,도봉1동,서울특별시,도봉구,2282,12381,7478,5483,1343,2019,2019
1110065,도봉2동,서울특별시,도봉구,3696,16014,8854,5950,1057,2019,2019
1111051,월계1동,서울특별시,노원구,3214,14152,5834,6586,1249,2019,2019
1111052,월계2동,서울특별시,노원구,4094,15382,7664,2794,469,2019,2019
1111053,월계3동,서울특별시,노원구,4823,18380,8193,3634,569,2019,2019
1111056,공릉2동,서울특별시,노원구,7899,25116,7428,11043,1436,2019,2019
1111058,하계1동,서울특별시,노원구,4900,17697,6090,7861,950,2019,2019
1111059,하계2동,서울특별시,노원구,4628,14192,4438,1037,231,2019,2019
1111060,중계본동,서울특별시,노원구,6315,15496,3993,5404,1007,2019,2019
1111061,중계1동,서울특별시,노원구,7956,16545,3478,4036,881,2019,2019
1111064,중계4동,서울특별시,노원구,3789,12166,5304,3711,847,2019,2019
1111065,상계1동,서울특별시,노원구,6163,23913,9879,7919,1584,2019,2019
1111066,상계2동,서울특별시,노원구,3115,13147,4782,10394,2518,2019,2019
1111069,상계5동,서울특별시,노원구,3472,14980,6883,4741,1372,2019,2019
1111072,상계8동,서울특별시,노원구,5091,14886,3927,1605,392,2019,2019
1111073,상계9동,서울특별시,노원구,3944,13145,4736,2269,447,2019,2019
1111074,상계10동,서울특별시,노원구,2584,10591,3380,1985,312,2019,2019
1111076,상계3·4동,서울특별시,노원구,3344,14362,7991,3470,879,2019,2019
1111077,상계6·7동,서울특별시,노원구,6130,21484,6878,15493,1650,2019,2019
1111078,중계2·3동,서울특별시,노원구,5869,21097,9643,4833,1062,2019,2019
1111079,공릉1동,서울특별시,노원구,5283,24040,9000,11480,2373,2019,2019
1112051,녹번동,서울특별시,은평구,5246,23319,9394,9117,1540,2019,2019
1112052,불광1동,서울특별시,은평구,5564,24497,10549,6746,1357,2019,2019
1112055,갈현1동,서울특별시,은평구,3023,15006,6259,4731,1317,2019,2019
1112056,갈현2동,서울특별시,은평구,4451,18445,6875,5759,1353,2019,2019
1112057,구산동,서울특별시,은평구,5083,20025,8462,5114,820,2019,2019
1112058,대조동,서울특별시,은평구,3232,17435,6855,7682,2228,2019,2019
1112059,응암1동,서울특별시,은평구,4143,15412,5783,7617,1447,2019,2019
1112060,응암2동,서울특별시,은평구,5047,15325,4869,1942,547,2019,2019
1112065,신사1동,서울특별시,은평구,4087,17374,6859,3768,1029,2019,2019
1112066,신사2동,서울특별시,은평구,3172,13103,5452,2596,586,2019,2019
1112067,증산동,서울특별시,은평구,2191,9459,4377,3422,746,2019,2019
1112068,수색동,서울특별시,은평구,1061,5233,2584,2245,428,2019,2019
1112071,진관동,서울특별시,은평구,12750,33921,11090,12063,1630,2019,2019
1112072,불광2동,서울특별시,은평구,3362,17861,8026,3712,1056,2019,2019
1112073,응암3동,서울특별시,은평구,2937,15240,7523,4919,1545,2019,2019
1112074,역촌동,서울특별시,은평구,7041,29660,11370,7240,2027,2019,2019
1113052,천연동,서울특별시,서대문구,2999,10936,4458,3001,847,2019,2019
1113062,홍제1동,서울특별시,서대문구,3721,14815,6165,4680,1004,2019,2019
1113064,홍제3동,서울특별시,서대문구,2111,9359,4775,3860,1109,2019,2019
1113065,홍제2동,서울특별시,서대문구,2069,8652,3723,1627,522,2019,2019
