dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도
11140680,합정동,0,1712417.12,1.43,7.57,29.05,0,1359,11255,3724,14003,3760,17.75,4,0
11140690,망원1동,0,1101022.99,1.14,6.84,37.17,0,1832,12535,4792,6576,2715,21.63,1,0
11140700,망원2동,0,676421.76,4.52,2.98,49.34,0,2215,11184,4523,4873,1851,42.84,2,0
11140710,연남동,0,647450.36,1.53,0.0,74.4,0,1136,9860,3231,9158,3042,15.54,4,0
11140720,성산1동,0,859268.41,10.3,2.24,48.29,0,1967,12229,4370,13021,2510,10.37,3,0
11140730,성산2동,0,1978756.33,6.7,10.74,37.16,0,4754,24915,9029,12736,3261,75.67,6,0
11140740,상암동,0,8402553.65,0.0,1.27,7.32,0,5608,17893,6160,48844,3648,90.72,5,0
11140750,도화동,0,625028.52,8.37,0.7,66.65,0,2723,12367,5550,20594,2893,83.36,5,0
11140760,서강동,0,1478601.04,1.16,2.83,43.71,0,3263,16280,5029,10953,2581,70.13,7,0
11140770,공덕동,0,1019224.92,3.7,1.34,72.55,0,4001,23384,9096,20775,3352,63.75,8,0
11140780,아현동,0,744347.78,5.76,3.88,66.38,0,4957,18284,5541,14420,2322,96.64,9,0
11150510,목1동,0,1433134.56,15.16,19.42,24.15,0,7465,17363,5445,22047,3688,95.24,3,0
11150520,목2동,0,1021372.28,2.61,17.59,60.49,0,3551,18391,6930,5053,1886,27.35,2,0
11150530,목3동,0,531858.84,8.89,0.0,72.76,0,2381,13250,5593,4993,1798,30.91,2,0
11150540,목4동,0,577502.78,8.94,0.0,69.08,0,3984,15199,5275,4587,1895,37.65,1,0
11150570,신월1동,0,622409.85,16.25,0.0,58.53,0,1841,10919,6672,4824,1865,21.49,0,0
11150580,신월2동,0,606821.39,15.6,0.0,56.18,0,2991,11662,6120,4424,1286,55.23,4,0
11150590,신월3동,0,918054.67,5.04,2.54,39.2,0,1565,8011,4710,5029,1183,25.16,0,0
11150600,신월4동,0,469881.05,7.47,0.0,61.06,0,2650,9602,5192,3339,1225,55.56,0,0
11150610,신월5동,0,638313.02,12.34,0.0,43.92,0,1823,8154,4010,3740,1112,30.91,0,0
11150620,신월6동,0,444293.67,6.92,0.0,50.29,0,2650,8066,3156,2854,994,86.89,0,0
11150630,신월7동,0,1230648.01,6.48,2.02,32.13,0,1856,10315,6493,5395,1338,39.71,0,0
11150640,신정1동,0,747580.56,10.68,3.96,62.2,0,4413,11056,4248,5868,1503,89.97,3,0
11150650,신정2동,0,525907.74,17.33,8.62,43.16,0,3950,10557,4267,4036,1456,87.37,2,0
11150660,신정3동,0,2756581.47,6.22,0.82,20.26,0,8456,28788,12317,8930,2582,89.65,1,0
11150690,신정6동,0,940900.23,7.34,5.1,53.18,0,5301,13802,4858,6671,995,100.0,4,0
11150700,신정7동,0,1234150.66,2.52,5.2,40.29,0,4860,15501,7912,7130,1448,98.16,1,0
11150710,목5동,0,1766389.8,3.36,13.6,51.96,0,10213,22727,7765,10499,2284,100.0,2,0
11150720,신정4동,0,997159.99,29.74,0.0,42.18,0,3163,19589,9000,16820,4149,19.01,5,0
11160510,염창동,0,1734485.94,15.41,0.0,25.68,0,7798,26080,7481,16080,2956,90.07,4,0
11160520,등촌1동,0,650751.62,34.43,0.52,28.45,0,2378,17903,4653,19441,2881,72.36,3,0
11160530,등촌2동,0,910680.73,6.41,14.23,32.24,0,2376,11804,5170,3858,1108,39.91,1,0
11160540,등촌3동,0,1060380.03,20.84,5.23,35.59,0,3052,15918,10437,22632,3186,97.97,2,0
11160550,화곡본동,0,972750.88,0.11,3.21,65.99,0,3602,21542,7809,4602,1851,9.27,1,0
11160570,화곡2동,0,454628.14,6.84,0.0,71.02,0,2092,10475,4486,2582,1132,5.6,3,0
