dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도,worker_density,business_density,station_density_지하철,기타지역비율_pct
11040690,송정동,0,681926.68,0.0,0.0,39.69,0,857,6009,2854,2756,913,34.92,1,0,0.004041490208242893,0.0013388536139788685,1.4664333121345768e-06,60.31
11040700,용답동,0,2377186.4,6.57,8.21,11.89,0,821,8046,3172,11442,2317,24.56,5,0,0.004813253180294094,0.0009746816656826966,2.1033268573213136e-06,73.33
11040710,왕십리도선동,0,710297.02,5.86,2.37,74.79,0,3606,16714,5949,10293,3148,86.54,10,0,0.0144911209114394,0.004431948764132053,1.4078617421003982e-05,16.97999999999999
11040720,금호2·3가동,0,631206.23,0.0,2.3,77.37,0,2832,13347,5774,2969,1422,68.77,2,0,0.0047036924840760256,0.002252829475364132,3.1685365335641804e-06,20.33
11040730,옥수동,0,1922203.17,0.0,0.0,29.33,0,3896,15232,6274,4729,1361,95.95,4,0,0.002460197794791587,0.0007080416998755234,2.080945480897938e-06,70.67
11050530,화양동,0,1136335.58,4.52,0.0,41.21,0,916,19028,3249,16150,2999,28.52,4,0,0.014212350897133639,0.002639185160402711,3.520086909506784e-06,54.269999999999996
11050540,군자동,0,738037.47,0.45,0.0,67.46,0,1578,12833,4659,9773,2286,16.8,3,0,0.013241875104075112,0.003097403713078451,4.0648342691318256e-06,32.09
11050550,중곡1동,0,614514.79,2.78,2.74,56.76,0,1235,10124,3880,6454,1977,10.82,3,0,0.010502595063488992,0.003217172364505382,4.881900401373873e-06,37.72
11050560,중곡2동,0,545550.94,0.0,0.0,75.64,0,2070,13139,5312,7667,2133,5.88,4,0,0.014053683052694336,0.003909809045441114,7.332037591075693e-06,24.36
11050570,중곡3동,0,601876.05,0.85,6.82,62.27,0,1442,9782,4503,5696,1537,11.74,2,0,0.00946374257607586,0.0025536819416131663,3.322943320251355e-06,30.060000000000002
11050580,중곡4동,0,2313505.98,0.34,0.0,25.05,0,2677,16666,8251,4421,1692,4.16,3,0,0.0019109524843246312,0.0007313575217094042,1.2967331945202203e-06,74.61
11050590,능동,0,1092122.62,0.0,0.0,13.4,0,924,7760,2413,6811,1146,1.39,4,0,0.006236479196756893,0.001049332720523183,3.6625923927510754e-06,86.6
11050600,구의1동,0,595014.14,1.25,0.0,77.3,0,2022,16006,5099,6825,2280,16.86,1,0,0.011470315646423625,0.0038318417104536064,1.6806323291463187e-06,21.450000000000003
11050610,구의2동,0,1388063.3,0.74,7.56,42.56,0,3452,15328,6830,5372,1652,20.31,2,0,0.003870140504371305,0.0011901474522005577,1.4408564796616922e-06,49.14
11050620,구의3동,0,1027578.03,7.29,4.4,47.73,0,3858,17322,6660,15629,3261,66.32,2,0,0.01520955055826554,0.003173481628415377,1.9463242124595997e-06,40.58
11050630,광장동,0,2393800.15,8.2,0.13,22.12,0,7792,20057,6122,12054,2088,87.85,1,0,0.005035508081136032,0.000872253266418785,4.1774581725037596e-07,69.55
11050640,자양1동,0,568877.08,2.02,2.8,83.03,0,2101,14218,5514,10177,2067,16.51,1,0,0.017889629161753372,0.0036334738604052487,1.757848989068819e-06,12.150000000000006
11050650,자양2동,0,1657549.85,0.28,19.57,28.52,0,2885,14363,6380,5573,1871,38.85,2,0,0.0033621914900275112,0.0011287744980874705,1.2066002117450246e-06,51.629999999999995
11050660,자양3동,0,1196438.64,0.0,15.38,34.09,0,4368,16089,6764,7030,1809,82.56,4,0,0.005875771447787111,0.0015119872758245923,3.343255446820547e-06,50.529999999999994
11050670,자양4동,0,1180042.06,2.81,6.22,41.4,0,1692,12336,5855,5834,2084,41.86,4,0,0.004943891576161752,0.0017660387460954902,3.389709685404012e-06,49.57
11060710,회기동,0,766929.29,3.35,4.97,36.51,0,1011,7323,2060,11644,1318,52.14,3,0,0.015182625245474942,0.001718541744549637,3.911703515666852e-06,55.17
11060720,휘경1동,0,521804.76,9.06,0.0,65.01,0,1425,9274,3013,4043,1326,70.63,4,0,0.007748108698591632,0.002541180344875712,7.66570239781512e-06,25.929999999999993
11060730,휘경2동,0,1113627.07,1.25,6.92,43.75,0,2811,15554,5799,5215,1197,64.92,3,0,0.004682896223017613,0.001074866112934244,2.6939000324166515e-06,48.08
11060800,청량리동,1,1204417.83,1.76,20.33,43.24,0,1544,9619,7579,7852,1796,63.34,4,3,0.006519332248622395,0.0014911768617582553,3.3211065963435532e-06,34.67
11060810,용신동,1,1618425.76,10.8,1.87,57.5,0,3883,25161,9366,28958,6720,65.02,9,3,0.01789269592435372,0.004152183044811693,5.56095943501566e-06,29.83
